Index,API명,제공기관,수정일자,키워드,상세URL,Category,Region
2610,XML JSON 식품의약품안전처_수입식품 수입신고 접수 업체,식품의약품안전처,2025-08-07,"수입식품,해외제조업소,수출업소,접수,허가·신고",https://www.data.go.kr/data/15073921/openapi.do,보건/식품,전국/기타
2611,XML JSON 식품의약품안전처_수입식품 고유제품 상세정보,식품의약품안전처,2025-08-07,"수입식품,수입신고,제품,ED,품목명",https://www.data.go.kr/data/15098132/openapi.do,보건/식품,전국/기타
2612,XML JSON 부산광역시_부산도보여행정보 서비스,부산광역시,2025-08-07,"부산도보,도보여행,정보서비스,뚜벅이여행,산책로",https://www.data.go.kr/data/15063454/openapi.do,문화/관광,부산
2613,XML JSON 식품의약품안전처_수입수산물 검사통계 정보 서비스,식품의약품안전처,2025-08-07,"식품,수입,수산물,수입신고,수입수산물 검사결과,통계",https://www.data.go.kr/data/15132779/openapi.do,보건/식품,전국/기타
2614,XML JSON 부산광역시_실시간 낙동강 염분 정보,부산광역시,2025-08-07,"수문개방,농작물,수질,피해,영향,어류",https://www.data.go.kr/data/15034078/openapi.do,환경/에너지,부산
2615,XML JSON 부산광역시 토양오염실태조사 정보,부산광역시,2025-08-07,"환경,유해,중금속,토양,토양오염물질",https://www.data.go.kr/data/15034084/openapi.do,환경/에너지,부산
2616,XML JSON 부산광역시_대관/대여 정보,부산광역시,2025-08-07,"행사,교육,대관,대여,부산광역시 통합예약,예약 프로그램,대관대여예약,통합예약시스템",https://www.data.go.kr/data/15034071/openapi.do,교육/복지,부산
2617,XML JSON 부산광역시_도시재생사업 현황,부산광역시,2025-08-07,"경제,신도시,재개발",https://www.data.go.kr/data/15040871/openapi.do,금융/경제,부산
2618,XML JSON 부산광역시_실내공기질 실시간 측정 자료,부산광역시,2025-08-07,"실내공기질,부산,지하역사,승강장,대합실,미세먼지,초미세먼지,도시철도",https://www.data.go.kr/data/3056201/openapi.do,교통/물류,부산
2619,XML JSON 부산광역시_가족사랑카드 참여업체 현황,부산광역시,2025-08-07,"다자녀,가족,서비스,다자녀할인,부산다자녀",https://www.data.go.kr/data/15034075/openapi.do,기타,부산
2620,XML 서울교통공사_지하철역사내실내공기질정보(시간단위),서울교통공사,2025-08-07,"지하철환경,공기질,실내공기질,환경기계,지하철역사,미세먼지농도",https://www.data.go.kr/data/15081222/openapi.do,교통/물류,"경기,서울"
2621,XML JSON 부산광역시_119 구조 반려동물 정보,부산광역시,2025-08-07,"반려묘,반려견,포획,주인찾기,유기견,유기묘,유기동물,반려동물",https://www.data.go.kr/data/15034086/openapi.do,안전/재난,부산
2622,JSON 경기도 안양시_장애인 복지시설_현황,경기도 안양시,2025-08-07,"시설정보,복지서비스,장애인 복지법,직업재활시설,종합복지관",https://www.data.go.kr/data/15126518/openapi.do,교육/복지,경기
2623,JSON 경기도 안양시_버스안내단말기(BIT)_현황,경기도 안양시,2025-08-07,"버스정보시스템,버스 정류장,교통,버스안내,대중교통",https://www.data.go.kr/data/15126507/openapi.do,교통/물류,경기
2624,JSON 경기도 안양시_체육시설업_현황,경기도 안양시,2025-08-07,"헬스장,요가센터,수영장,골프연습장,체육인프라",https://www.data.go.kr/data/15126519/openapi.do,문화/관광,경기
2625,XML JSON 부산광역시 환경소음 정보,부산광역시,2025-08-07,"환경소음,소음,진동,도시환경,환경보호",https://www.data.go.kr/data/15011942/openapi.do,환경/에너지,부산
2626,XML JSON 부산광역시_악취 및 VOCs 측정망,부산광역시,2025-08-07,"악취,VOCs,악취농도,악취물질,악취측정소,부산시 공단악취,부산시 지정악취물질,악취공정시험",https://www.data.go.kr/data/15076363/openapi.do,기타,부산
2627,XML JSON 부산광역시_국제수산물도매시장 가격정보,부산광역시,2025-08-07,"도매시장,유통정보,경락정보,수산물,부산수산물,도매법인,품목별정보,거래금액",https://www.data.go.kr/data/15058271/openapi.do,산업/고용,부산
2628,XML JSON 부산광역시_국제수산물도매시장 경락정보,부산광역시,2025-08-07,"도매시장,유통정보,경락정보,수산물,부산수산물,도매법인,품목별정보,거래금액",https://www.data.go.kr/data/15056673/openapi.do,산업/고용,부산
2629,XML JSON 부산광역시_국제수산물도매시장 입하정보,부산광역시,2025-08-07,"도매시장,유통정보,경락정보,부산수산물,국제수산물유통,수산물,제품가격,유통시장",https://www.data.go.kr/data/15056542/openapi.do,산업/고용,부산
2630,JSON 경기도 안양시_지역아동센터_현황,경기도 안양시,2025-08-07,"아동,방과후 돌봄,아동복지법,건전육성,시설현황",https://www.data.go.kr/data/15126520/openapi.do,교육/복지,경기
2631,JSON 경기도 안양시_즉석판매제조가공업_현황,경기도 안양시,2025-08-07,"식품,보건,즉석판매,위생관리,소비자안전",https://www.data.go.kr/data/15126522/openapi.do,보건/식품,경기
2632,XML JSON 부산광역시_외국인환자 유치기관,부산광역시,2025-08-07,"의료,외국인,관광,환자,유치,전화번호,소재지,병원",https://www.data.go.kr/data/15040616/openapi.do,문화/관광,부산
